threshold,orig_detected_bit,adv_detected_bit,orig_detected_blur,adv_detected_blur,orig_detected_both,adv_detected_both,orig_detected_bit_rate,adv_detected_bit_rate,orig_detected_blur_rate,adv_detected_blur_rate,orig_detected_both_rate,adv_detected_both_rate
1.22,38,40,374,3657,403,3682,0.00749211356466877,0.007886435331230283,0.07373817034700315,0.7210173501577287,0.07945583596214512,0.7259463722397477
1.23,38,35,369,3632,398,3656,0.00749211356466877,0.006900630914826498,0.07275236593059937,0.7160883280757098,0.07847003154574132,0.7208201892744479
1.24,38,35,367,3609,396,3633,0.00749211356466877,0.006900630914826498,0.07235804416403785,0.7115536277602523,0.07807570977917981,0.7162854889589906
1.25,38,33,362,3581,392,3604,0.00749211356466877,0.0065063091482649845,0.07137223974763407,0.7060331230283912,0.07728706624605679,0.7105678233438486
1.26,38,32,356,3558,386,3580,0.00749211356466877,0.006309148264984227,0.07018927444794952,0.7014984227129337,0.07610410094637224,0.7058359621451105
1.27,38,32,351,3535,381,3557,0.00749211356466877,0.006309148264984227,0.06920347003154574,0.6969637223974764,0.07511829652996846,0.701301261829653
1.28,37,32,349,3513,378,3535,0.007294952681388012,0.006309148264984227,0.06880914826498423,0.6926261829652997,0.07452681388012618,0.6969637223974764
1.29,35,32,343,3488,370,3510,0.006900630914826498,0.006309148264984227,0.06762618296529968,0.6876971608832808,0.07294952681388013,0.6920347003154574
1.3,35,31,340,3463,367,3484,0.006900630914826498,0.00611198738170347,0.06703470031545741,0.6827681388012619,0.07235804416403785,0.6869085173501577
1.31,34,29,336,3437,362,3456,0.006703470031545741,0.005717665615141956,0.06624605678233439,0.6776419558359621,0.07137223974763407,0.6813880126182965
1.32,33,29,331,3402,356,3422,0.0065063091482649845,0.005717665615141956,0.0652602523659306,0.6707413249211357,0.07018927444794952,0.6746845425867508
1.33,32,29,327,3368,351,3388,0.006309148264984227,0.005717665615141956,0.06447160883280757,0.6640378548895899,0.06920347003154574,0.667981072555205
1.34,31,28,320,3332,343,3351,0.00611198738170347,0.005520504731861199,0.06309148264984227,0.6569400630914827,0.06762618296529968,0.660686119873817
1.35,31,27,315,3312,338,3330,0.00611198738170347,0.0053233438485804415,0.06210567823343849,0.6529968454258676,0.0666403785488959,0.6565457413249212
1.36,29,25,311,3284,334,3301,0.005717665615141956,0.004929022082018927,0.06131703470031546,0.6474763406940063,0.06585173501577288,0.6508280757097792
1.37,29,24,311,3247,334,3264,0.005717665615141956,0.00473186119873817,0.06131703470031546,0.6401813880126183,0.06585173501577288,0.6435331230283912
1.3800000000000001,28,23,306,3215,328,3231,0.005520504731861199,0.004534700315457414,0.06033123028391167,0.6338722397476341,0.06466876971608833,0.6370268138801262
1.3900000000000001,28,23,304,3183,326,3199,0.005520504731861199,0.004534700315457414,0.05993690851735016,0.6275630914826499,0.06427444794952682,0.630717665615142
1.4000000000000001,28,22,297,3142,320,3157,0.005520504731861199,0.004337539432176656,0.058556782334384855,0.6194794952681388,0.06309148264984227,0.6224369085173501
1.41,28,22,290,3107,313,3122,0.005520504731861199,0.004337539432176656,0.05717665615141956,0.6125788643533123,0.06171135646687697,0.6155362776025236
1.42,27,21,283,3067,305,3081,0.0053233438485804415,0.004140378548895899,0.05579652996845426,0.604692429022082,0.060134069400630916,0.6074526813880127
1.43,26,21,272,3027,293,3041,0.005126182965299685,0.004140378548895899,0.05362776025236593,0.5968059936908517,0.05776813880126183,0.5995662460567823
1.44,26,21,267,2984,288,2998,0.005126182965299685,0.004140378548895899,0.052641955835962144,0.5883280757097792,0.056782334384858045,0.5910883280757098
1.45,26,20,264,2946,285,2959,0.005126182965299685,0.003943217665615142,0.052050473186119876,0.5808359621451105,0.05619085173501577,0.5833990536277602
1.46,26,19,262,2911,283,2923,0.005126182965299685,0.003746056782334385,0.05165615141955836,0.573935331230284,0.05579652996845426,0.576301261829653
1.47,26,19,260,2859,281,2871,0.005126182965299685,0.003746056782334385,0.051261829652996846,0.5636829652996845,0.05540220820189275,0.5660488958990536
1.48,26,19,255,2812,276,2824,0.005126182965299685,0.003746056782334385,0.05027602523659306,0.554416403785489,0.05441640378548896,0.556782334384858
