threshold,orig_detected_bit,adv_detected_bit,orig_detected_blur,adv_detected_blur,orig_detected_both,adv_detected_both,orig_detected_bit_rate,adv_detected_bit_rate,orig_detected_blur_rate,adv_detected_blur_rate,orig_detected_both_rate,adv_detected_both_rate
0.97,57,0,515,78,560,78,0.011238170347003154,0.0,0.1015378548895899,0.015378548895899053,0.11041009463722397,0.015378548895899053
0.98,57,0,505,78,550,78,0.011238170347003154,0.0,0.09956624605678234,0.015378548895899053,0.10843848580441641,0.015378548895899053
0.99,56,0,501,78,545,78,0.011041009463722398,0.0,0.0987776025236593,0.015378548895899053,0.10745268138801262,0.015378548895899053
1.0,54,0,496,77,538,77,0.010646687697160883,0.0,0.09779179810725552,0.015181388012618296,0.10607255520504733,0.015181388012618296
1.01,54,0,492,76,534,76,0.010646687697160883,0.0,0.09700315457413249,0.01498422712933754,0.10528391167192429,0.01498422712933754
1.02,52,0,485,76,525,76,0.01025236593059937,0.0,0.0956230283911672,0.01498422712933754,0.10350946372239747,0.01498422712933754
1.03,52,0,480,76,520,76,0.01025236593059937,0.0,0.0946372239747634,0.01498422712933754,0.10252365930599369,0.01498422712933754
1.04,51,0,476,76,515,76,0.010055205047318612,0.0,0.09384858044164038,0.01498422712933754,0.1015378548895899,0.01498422712933754
1.05,50,0,472,76,511,76,0.009858044164037854,0.0,0.09305993690851735,0.01498422712933754,0.10074921135646688,0.01498422712933754
1.06,49,0,466,76,505,76,0.009660883280757098,0.0,0.0918769716088328,0.01498422712933754,0.09956624605678234,0.01498422712933754
1.07,48,0,460,76,498,76,0.00946372239747634,0.0,0.09069400630914827,0.01498422712933754,0.09818611987381703,0.01498422712933754
1.08,47,0,459,76,496,76,0.009266561514195583,0.0,0.09049684542586751,0.01498422712933754,0.09779179810725552,0.01498422712933754
1.09,47,0,452,76,489,76,0.009266561514195583,0.0,0.08911671924290221,0.01498422712933754,0.09641167192429022,0.01498422712933754
1.1,47,0,443,75,480,75,0.009266561514195583,0.0,0.08734227129337539,0.014787066246056782,0.0946372239747634,0.014787066246056782
1.11,47,0,437,74,474,74,0.009266561514195583,0.0,0.08615930599369086,0.014589905362776025,0.09345425867507887,0.014589905362776025
1.12,46,0,431,73,467,73,0.009069400630914827,0.0,0.08497634069400631,0.014392744479495269,0.09207413249211356,0.014392744479495269
1.1300000000000001,45,0,424,73,459,73,0.00887223974763407,0.0,0.083596214511041,0.014392744479495269,0.09049684542586751,0.014392744479495269
1.1400000000000001,44,0,421,73,455,73,0.008675078864353312,0.0,0.08300473186119874,0.014392744479495269,0.08970820189274448,0.014392744479495269
1.1500000000000001,43,0,411,73,444,73,0.008477917981072555,0.0,0.08103312302839116,0.014392744479495269,0.08753943217665615,0.014392744479495269
1.16,42,0,403,73,435,73,0.008280757097791799,0.0,0.07945583596214512,0.014392744479495269,0.08576498422712933,0.014392744479495269
1.17,40,0,399,73,429,73,0.007886435331230283,0.0,0.07866719242902208,0.014392744479495269,0.0845820189274448,0.014392744479495269
1.18,39,0,393,73,422,73,0.007689274447949527,0.0,0.07748422712933754,0.014392744479495269,0.08320189274447949,0.014392744479495269
1.19,39,0,389,72,418,72,0.007689274447949527,0.0,0.0766955835962145,0.014195583596214511,0.08241324921135647,0.014195583596214511
